response_id,main_branch,age,remote_work,ed_level,years_code,years_code_pro,dev_type,org_size,purchase_influence,buildvs_buy,country,currency,comp_total,so_visit_freq,so_account,so_part_freq,so_comm,ai_select,ai_sent,ai_acc,ai_complex,ai_threat,survey_length,survey_ease,converted_comp_yearly,r_used,r_want_to_use,main_branch_label,age_label,remote_work_label,ed_level_label,dev_type_label,org_size_label,purchase_influence_label,buildvs_buy_label,so_visit_freq_label,so_account_label,so_part_freq_label,so_comm_label,ai_select_label,ai_sent_label,ai_acc_label,ai_complex_label,ai_threat_label,survey_length_label,survey_ease_label
566,1,3,3,1,15,15,16,8,2,3,United States of America,"USD	United States dollar",100000.00,5,3,2,5,3,3,1,1,3,1,3,100000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",500 to 999 employees,I have little or no influence,Out-of-the-box is ready to go with little need for customization,Multiple times per day,Yes,A few times per week,"Yes, definitely",Yes,Unfavorable,Highly distrust,Bad at handling complex tasks,Yes,Appropriate in length,Neither easy nor difficult
567,1,3,3,3,26,22,16,4,3,2,United States of America,"USD	United States dollar",220000.00,2,3,1,6,2,2,NA,NA,2,1,3,220000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",100 to 499 employees,I have some influence,Is set up to be customized and needs to be engineered into a usable product,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat","No, but I plan to soon",Indifferent,NA,NA,No,Appropriate in length,Neither easy nor difficult
569,1,3,3,2,21,13,12,3,2,NA,United States of America,"USD	United States dollar",220000.00,2,3,4,6,3,6,1,4,2,1,2,220000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","10,000 or more employees",I have little or no influence,NA,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,Very unfavorable,Highly distrust,Very poor at handling complex tasks,No,Appropriate in length,Easy
571,1,3,3,2,30,22,16,1,3,1,United States of America,"USD	United States dollar",250000.00,1,3,5,3,3,1,4,1,2,1,3,250000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",Yes,Favorable,Somewhat distrust,Bad at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
573,1,5,3,2,40,35,16,2,1,3,United States of America,"USD	United States dollar",140000.00,2,3,5,3,3,2,4,1,2,1,2,140000.00,0,0,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,I have a great deal of influence,Out-of-the-box is ready to go with little need for customization,A few times per week,Yes,Less than once per month or monthly,"No, not really",Yes,Indifferent,Somewhat distrust,Bad at handling complex tasks,No,Appropriate in length,Easy
576,1,3,NA,3,24,20,16,2,3,1,United States of America,"USD	United States dollar",180000.00,2,3,2,5,2,2,NA,NA,1,1,2,180000.00,0,0,I am a developer by profession,35-44 years old,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",10 to 19 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,A few times per week,"Yes, definitely","No, but I plan to soon",Indifferent,NA,NA,I'm not sure,Appropriate in length,Easy
580,1,4,1,2,33,25,12,2,3,1,United States of America,"USD	United States dollar",150000.00,1,3,1,1,2,3,NA,NA,1,1,3,150000.00,0,0,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",10 to 19 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,A few times per month or weekly,Neutral,"No, but I plan to soon",Unfavorable,NA,NA,I'm not sure,Appropriate in length,Neither easy nor difficult
586,1,4,3,5,20,15,6,5,3,NA,United States of America,"USD	United States dollar",100000.00,3,3,5,3,3,2,4,4,2,1,3,100000.00,1,NA,I am a developer by profession,45-54 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,2 to 9 employees,I have some influence,NA,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",Yes,Indifferent,Somewhat distrust,Very poor at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
588,1,6,3,2,31,31,12,4,1,1,United States of America,"USD	United States dollar",150000.00,2,3,1,3,3,1,3,1,1,1,2,150000.00,0,0,I am a developer by profession,65 years or older,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,A few times per month or weekly,"No, not really",Yes,Favorable,Neither trust nor distrust,Bad at handling complex tasks,I'm not sure,Appropriate in length,Easy
590,1,2,3,2,13,11,16,10,1,1,United States of America,"USD	United States dollar",150000.00,4,3,5,3,1,NA,NA,NA,NA,1,2,150000.00,0,0,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not really","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
593,1,3,1,1,14,10,16,4,3,1,United States of America,"USD	United States dollar",150000.00,5,3,5,1,1,NA,NA,NA,NA,1,2,150000.00,0,0,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)","Developer, full-stack",100 to 499 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,Multiple times per day,Yes,Less than once per month or monthly,Neutral,"No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
607,1,5,3,2,31,20,12,3,2,1,United States of America,"USD	United States dollar",185000.00,2,3,4,1,3,1,4,3,1,1,2,185000.00,0,0,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","10,000 or more employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,Favorable,Somewhat distrust,Neither good or bad at handling complex tasks,I'm not sure,Appropriate in length,Easy
609,3,2,3,6,24,24,31,5,3,1,United States of America,"USD	United States dollar",55000.00,1,2,NA,3,3,1,4,2,2,1,3,55000.00,0,0,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Security professional,2 to 9 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Not sure/can't remember,NA,"No, not really",Yes,Favorable,Somewhat distrust,"Good, but not great at handling complex tasks",No,Appropriate in length,Neither easy nor difficult
621,1,2,1,2,5,3,12,3,2,2,United States of America,"USD	United States dollar",120000.00,2,1,NA,1,1,NA,NA,NA,NA,1,2,120000.00,0,0,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","10,000 or more employees",I have little or no influence,Is set up to be customized and needs to be engineered into a usable product,A few times per week,No,NA,Neutral,"No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
625,1,2,3,2,12,7,NA,3,3,1,United States of America,"USD	United States dollar",205000.00,2,3,4,3,3,1,4,4,2,1,2,205000.00,0,0,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",NA,"10,000 or more employees",I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,Favorable,Somewhat distrust,Very poor at handling complex tasks,No,Appropriate in length,Easy
634,1,2,1,3,5,1,16,1,3,1,United States of America,"USD	United States dollar",101000.00,2,3,1,6,3,2,3,1,3,2,3,101000.00,0,0,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","1,000 to 4,999 employees",I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Yes,Indifferent,Neither trust nor distrust,Bad at handling complex tasks,Yes,Too long,Neither easy nor difficult
637,1,4,3,3,32,24,10,6,3,1,United States of America,"USD	United States dollar",300000.00,1,3,5,6,3,1,5,1,2,2,2,300000.00,0,0,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Developer Experience,20 to 99 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,Favorable,Somewhat trust,Bad at handling complex tasks,No,Too long,Easy
653,1,2,3,2,17,17,16,6,2,1,United States of America,"USD	United States dollar",190000.00,2,3,4,1,3,2,1,4,2,1,3,190000.00,0,0,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,Indifferent,Highly distrust,Very poor at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
670,1,1,1,2,10,5,16,2,1,1,United States of America,"USD	United States dollar",118000.00,3,3,5,1,1,NA,NA,NA,NA,2,2,118000.00,0,0,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,"No, and I don't plan to",NA,NA,NA,NA,Too long,Easy
671,1,4,2,2,33,20,29,4,3,3,United States of America,"USD	United States dollar",150000.00,3,3,2,6,1,NA,NA,NA,NA,1,2,150000.00,0,0,I am a developer by profession,45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Research & Development role,100 to 499 employees,I have some influence,Out-of-the-box is ready to go with little need for customization,Daily or almost daily,Yes,A few times per week,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
672,1,3,1,3,4,2,16,7,2,1,United States of America,"USD	United States dollar",87250.00,2,3,1,6,3,2,4,1,2,1,2,87250.00,0,0,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","5,000 to 9,999 employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Yes,Indifferent,Somewhat distrust,Bad at handling complex tasks,No,Appropriate in length,Easy
686,1,2,1,2,14,10,16,1,3,3,United States of America,"USD	United States dollar",124000.00,3,3,5,5,3,2,1,4,2,1,2,124000.00,0,0,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",I have some influence,Out-of-the-box is ready to go with little need for customization,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",Yes,Indifferent,Highly distrust,Very poor at handling complex tasks,No,Appropriate in length,Easy
691,1,5,3,2,45,40,3,3,2,2,United States of America,"USD	United States dollar",120000.00,3,3,4,1,1,NA,NA,NA,NA,2,2,120000.00,0,0,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cloud infrastructure engineer,"10,000 or more employees",I have little or no influence,Is set up to be customized and needs to be engineered into a usable product,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,"No, and I don't plan to",NA,NA,NA,NA,Too long,Easy
703,1,2,3,2,18,10,13,3,2,2,United States of America,"USD	United States dollar",205000.00,3,3,4,2,1,NA,NA,NA,NA,NA,NA,205000.00,0,0,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","10,000 or more employees",I have little or no influence,Is set up to be customized and needs to be engineered into a usable product,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all","No, and I don't plan to",NA,NA,NA,NA,NA,NA
704,1,4,3,2,36,20,16,5,3,1,United States of America,"USD	United States dollar",250000.00,2,3,1,6,3,1,5,3,2,1,3,250000.00,0,0,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",2 to 9 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Yes,Favorable,Somewhat trust,Neither good or bad at handling complex tasks,No,Appropriate in length,Neither easy nor difficult
706,1,5,3,3,35,20,16,10,1,1,United States of America,"USD	United States dollar",250000.00,5,3,4,6,1,NA,NA,NA,NA,1,2,250000.00,0,0,I am a developer by profession,55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Is ready-to-go but also customizable for growth and targeted use cases,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
714,1,2,2,3,12,5,16,4,3,NA,United States of America,"USD	United States dollar",257000.00,3,3,1,5,1,NA,NA,NA,NA,2,2,257000.00,0,0,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",100 to 499 employees,I have some influence,NA,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,Too long,Easy
715,1,3,3,2,20,13,16,1,3,1,United States of America,"USD	United States dollar",163000.00,2,3,5,6,3,5,5,3,2,2,2,163000.00,0,0,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,Very favorable,Somewhat trust,Neither good or bad at handling complex tasks,No,Too long,Easy
731,1,2,3,2,9,7,18,7,2,1,United States of America,"USD	United States dollar",105000.00,2,3,1,6,1,NA,NA,NA,NA,1,2,105000.00,0,0,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","5,000 to 9,999 employees",I have little or no influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Easy
739,1,3,1,2,23,12,16,4,3,1,United States of America,"USD	United States dollar",70000.00,1,3,5,3,1,NA,NA,NA,NA,1,3,70000.00,0,0,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,I have some influence,Is ready-to-go but also customizable for growth and targeted use cases,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really","No, and I don't plan to",NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult
741,1,4,1,2,29,25,13,1,3,3,United States of America,"USD	United States dollar",150000.00,2,3,2,6,2,2,NA,NA,2,1,3,150000.00,0,0,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","1,000 to 4,999 employees",I have some influence,Out-of-the-box is ready to go with little need for customization,A few times per week,Yes,A few times per week,"Yes, somewhat","No, but I plan to soon",Indifferent,NA,NA,No,Appropriate in length,Neither easy nor difficult
